--- Weighted Skip GNN Training (Stable) ---
Dataset Successfully Loaded.
  - Found 126 fMRI and 126 DTI files.
  - Established 126 valid pairs.
Dataset Successfully Loaded.
  - Found 32 fMRI and 32 DTI files.
  - Established 32 valid pairs.
Ep 005 | Loss: 44.5227 | Top-1: 6.2% | Top-5: 37.5% | MRR: 0.189
[34m[1mwandb[0m: [33mWARNING[0m Symlinked 1 file into the W&B run directory; call wandb.save again to sync new files.
  >>> Best Saved! (37.5%)
Ep 010 | Loss: 44.4758 | Top-1: 9.4% | Top-5: 28.1% | MRR: 0.203
Ep 015 | Loss: 44.4713 | Top-1: 6.2% | Top-5: 21.9% | MRR: 0.185
Ep 020 | Loss: 44.4218 | Top-1: 6.2% | Top-5: 18.8% | MRR: 0.165
Ep 025 | Loss: 44.4152 | Top-1: 3.1% | Top-5: 15.6% | MRR: 0.148
Ep 030 | Loss: 44.3772 | Top-1: 6.2% | Top-5: 15.6% | MRR: 0.157
Ep 035 | Loss: 44.3619 | Top-1: 0.0% | Top-5: 12.5% | MRR: 0.113
Ep 040 | Loss: 44.3667 | Top-1: 3.1% | Top-5: 18.8% | MRR: 0.139
Ep 045 | Loss: 44.3293 | Top-1: 3.1% | Top-5: 18.8% | MRR: 0.141
Ep 050 | Loss: 44.3364 | Top-1: 3.1% | Top-5: 15.6% | MRR: 0.153
Ep 055 | Loss: 44.3192 | Top-1: 0.0% | Top-5: 21.9% | MRR: 0.141
Ep 060 | Loss: 44.3086 | Top-1: 6.2% | Top-5: 25.0% | MRR: 0.187
Ep 065 | Loss: 44.2584 | Top-1: 3.1% | Top-5: 25.0% | MRR: 0.164
Ep 070 | Loss: 44.2889 | Top-1: 0.0% | Top-5: 21.9% | MRR: 0.141
Ep 075 | Loss: 44.2771 | Top-1: 3.1% | Top-5: 31.2% | MRR: 0.163
Ep 080 | Loss: 44.2460 | Top-1: 0.0% | Top-5: 34.4% | MRR: 0.158
Ep 085 | Loss: 44.2484 | Top-1: 3.1% | Top-5: 34.4% | MRR: 0.164
Ep 090 | Loss: 44.2703 | Top-1: 3.1% | Top-5: 31.2% | MRR: 0.163
Ep 095 | Loss: 44.2713 | Top-1: 3.1% | Top-5: 28.1% | MRR: 0.158
Ep 100 | Loss: 44.2555 | Top-1: 6.2% | Top-5: 28.1% | MRR: 0.177
