--- Weighted Skip GNN Training (Stable) ---
Dataset Successfully Loaded.
  - Found 126 fMRI and 126 DTI files.
  - Established 126 valid pairs.
Dataset Successfully Loaded.
  - Found 32 fMRI and 32 DTI files.
  - Established 32 valid pairs.
Ep 005 | Loss: 44.4989 | Top-1: 0.0% | Top-5: 25.0% | MRR: 0.143
[34m[1mwandb[0m: [33mWARNING[0m Symlinked 1 file into the W&B run directory; call wandb.save again to sync new files.
  >>> Best Saved! (25.0%)
Ep 010 | Loss: 44.4408 | Top-1: 3.1% | Top-5: 18.8% | MRR: 0.145
Ep 015 | Loss: 44.4321 | Top-1: 3.1% | Top-5: 21.9% | MRR: 0.142
Ep 020 | Loss: 44.4519 | Top-1: 3.1% | Top-5: 12.5% | MRR: 0.123
Ep 025 | Loss: 44.4091 | Top-1: 6.2% | Top-5: 21.9% | MRR: 0.174
Ep 030 | Loss: 44.3821 | Top-1: 0.0% | Top-5: 18.8% | MRR: 0.117
Ep 035 | Loss: 44.3833 | Top-1: 6.2% | Top-5: 15.6% | MRR: 0.149
Ep 040 | Loss: 44.3770 | Top-1: 3.1% | Top-5: 15.6% | MRR: 0.132
Ep 045 | Loss: 44.3732 | Top-1: 6.2% | Top-5: 12.5% | MRR: 0.155
Ep 050 | Loss: 44.3472 | Top-1: 0.0% | Top-5: 18.8% | MRR: 0.116
Ep 055 | Loss: 44.3302 | Top-1: 0.0% | Top-5: 15.6% | MRR: 0.117
Ep 060 | Loss: 44.3059 | Top-1: 0.0% | Top-5: 25.0% | MRR: 0.124
Ep 065 | Loss: 44.3070 | Top-1: 0.0% | Top-5: 25.0% | MRR: 0.126
Ep 070 | Loss: 44.3139 | Top-1: 0.0% | Top-5: 21.9% | MRR: 0.115
Ep 075 | Loss: 44.3221 | Top-1: 0.0% | Top-5: 18.8% | MRR: 0.114
Ep 080 | Loss: 44.2828 | Top-1: 0.0% | Top-5: 12.5% | MRR: 0.109
Ep 085 | Loss: 44.3043 | Top-1: 0.0% | Top-5: 6.2% | MRR: 0.102
Ep 090 | Loss: 44.2842 | Top-1: 0.0% | Top-5: 18.8% | MRR: 0.121
Ep 095 | Loss: 44.2814 | Top-1: 0.0% | Top-5: 9.4% | MRR: 0.111
Ep 100 | Loss: 44.3146 | Top-1: 0.0% | Top-5: 12.5% | MRR: 0.114
