--- Weighted Skip GNN Training (Stable) ---
Dataset Successfully Loaded.
  - Found 126 fMRI and 126 DTI files.
  - Established 126 valid pairs.
Dataset Successfully Loaded.
  - Found 32 fMRI and 32 DTI files.
  - Established 32 valid pairs.
Ep 005 | Loss: 44.4863 | Top-1: 12.5% | Top-5: 28.1% | MRR: 0.223
[34m[1mwandb[0m: [33mWARNING[0m Symlinked 1 file into the W&B run directory; call wandb.save again to sync new files.
  >>> Best Saved! (28.1%)
Ep 010 | Loss: 44.4282 | Top-1: 3.1% | Top-5: 21.9% | MRR: 0.152
Ep 015 | Loss: 44.3827 | Top-1: 12.5% | Top-5: 25.0% | MRR: 0.217
Ep 020 | Loss: 44.3280 | Top-1: 0.0% | Top-5: 12.5% | MRR: 0.103
Ep 025 | Loss: 44.3085 | Top-1: 0.0% | Top-5: 9.4% | MRR: 0.097
Ep 030 | Loss: 44.2652 | Top-1: 0.0% | Top-5: 15.6% | MRR: 0.117
Ep 035 | Loss: 44.2240 | Top-1: 0.0% | Top-5: 18.8% | MRR: 0.112
Ep 040 | Loss: 44.1910 | Top-1: 0.0% | Top-5: 15.6% | MRR: 0.117
Ep 045 | Loss: 44.1640 | Top-1: 0.0% | Top-5: 18.8% | MRR: 0.115
Ep 050 | Loss: 44.1363 | Top-1: 0.0% | Top-5: 21.9% | MRR: 0.122
Ep 055 | Loss: 44.1306 | Top-1: 0.0% | Top-5: 15.6% | MRR: 0.102
Ep 060 | Loss: 44.1088 | Top-1: 0.0% | Top-5: 21.9% | MRR: 0.105
Ep 065 | Loss: 44.0752 | Top-1: 0.0% | Top-5: 18.8% | MRR: 0.119
Ep 070 | Loss: 44.0823 | Top-1: 0.0% | Top-5: 18.8% | MRR: 0.112
Ep 075 | Loss: 44.0818 | Top-1: 0.0% | Top-5: 18.8% | MRR: 0.118
Ep 080 | Loss: 44.0638 | Top-1: 0.0% | Top-5: 18.8% | MRR: 0.113
Ep 085 | Loss: 44.0559 | Top-1: 0.0% | Top-5: 18.8% | MRR: 0.116
Ep 090 | Loss: 44.0541 | Top-1: 0.0% | Top-5: 21.9% | MRR: 0.117
Ep 095 | Loss: 44.0614 | Top-1: 0.0% | Top-5: 21.9% | MRR: 0.109
Ep 100 | Loss: 44.0601 | Top-1: 0.0% | Top-5: 18.8% | MRR: 0.117
